Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Access,City-wide emissions inventory,Accounting year,Administrative city boundary,Inventory boundary (compared to Administrative city boundary),Primary Protocol,Primary Protocol Comment,Common Reporting Framework inventory format (GPC),Gases Included,Direct emissions (metric tonnes CO2e) for Total generation of grid-supplied energy,Direct emissions (metric tonnes CO2e) for Total emissions (excluding generation of grid-supplied energy),Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total generation of grid supplied energy,Indirect emissions from use of grid supplied energy (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),Emissions occurring outside city boundary (metric tonnes CO2e) for Total Generation of grid supplied energy,Emissions occurring outside city boundary (metric tonnes CO2e) for Total Emissions (excluding generation of grid-supplied energy),TOTAL Scope 1 Emissions (metric tonnes CO2e),TOTAL Scope 2 emissions (metric tonnes CO2e),TOTAL Scope 3 Emissions,TOTAL BASIC Emissions (GPC),TOTAL BASIC+ Emissions (GPC),Change in emissions,Primary reason for the change in emissions,Land area (in square km),Population,Population Year,City Location,Last update
2020,73800,Gobernador Maciá,,Argentina,Latin America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",0,47260.02,0,3626.57,0,656.31,,,,,,This is our first year of calculation,"Other, please specify",282,6406,2018,,2021-07-16T02:03:37.903
2020,54110,City of Santa Monica,Santa Monica,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),,,"CH4, CO2, N20",,731059,,181164,,39388,,,,,,Decreased,Technological change,21.79734,91411,2018,POINT (-118.481 34.0219),2021-07-16T02:03:37.903
2020,73726,Itagüí,,Colombia,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,21.09,276744,2018,,2021-07-16T02:03:37.903
2020,50678,Município de Évora,Évora,Portugal,Europe,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,1307.24,56596,2011,,2021-07-16T02:03:37.903
2020,826381,Junta Intermunicipal de la Región Norte del Estado de Jalisco (JINOR),,Mexico,Latin America,public,Yes,-,City / Municipality,Same – covers entire city and nothing else,,,,"CH4, CO2, N20",,,,,,,,,,,,,,555,4412,2020,,2021-07-16T02:03:37.903
2020,35854,City of Brussels,Brussels,Belgium,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: Convention des Maires, Facteurs d'émission IPCC (LCA based)",,,CO2,,,,4254080,,,,,,,,Decreased,Increased energy/electricity consumption,32.62,185103,2020,POINT (4.34878 50.8505),2021-07-16T02:03:37.903
2020,35859,City of Cleveland,Cleveland,United States of America,North America,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"We are also using the new Common Reporting Framework (CRF), which seems to pose some conflicts between the BASIC + requirements and the currently optional CRF requirements for AFLOU Data. We have significant IPPU data in our emissions which we would like to be included in our total emissions reporting across ALL platforms (CDP, ICLEI, GCom)",Yes,"CH4, CO2, N20",147489,8492078,,2852597,,560524,,,,,,Increased,Increased energy/electricity consumption,201.24,383793,2018,POINT (-81.6944 41.4993),2021-07-16T02:03:37.903
2020,57616,"City of Lake Forest, IL",Lake Forest,United States of America,North America,public,Yes,2007-01-01 - 2007-12-31,City / Municipality,Same – covers entire city and nothing else,"Other, please specify: Local Government Operations Protocol (LGOP)","The Local Government Operations Protocol (LGOP) is a tool for accounting and reporting GHG emissions across a local government’soperations. Reductions in emissions are calculated by comparing changes in a local government’semissions over time. By tracking emissions over time, local governments should be able to measure theGHG reduction benefits from policies and programs put in place to reduce emissions within theiroperations. https://s3.amazonaws.com/icleiusaresources/lgo_protocol_v1_1_2010-05-03.pdf",,"CH4, CO2, N20",,,,,,,120709.2,210436.37,71218.43,,,Do not know,Lack of documentation,44.65,19446,2019,POINT (-87.8406 42.2586),2021-07-16T02:03:37.903
2020,54459,City of Reykjavík,Reykjavík,Iceland,Europe,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,504726,,21637,,2431,,,,,,Increased,Change in data collection methods,275,132080,2020,POINT (-21.8174 64.1265),2021-07-16T02:03:37.903
2020,54650,Prefeitura de Palmas,Palmas,Brazil,Latin America,public,Yes,2013-01-01 - 2013-12-31,City / Municipality,,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,,,,,,,,,,,,,Do not know,,2051.93,291855,2018,POINT (-48.3243 -10.2491),2021-07-16T02:03:37.903
2020,52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,181.86,657013,2019,POINT (-37.0731 -10.9472),2021-07-16T02:03:37.903
2020,826209,Aipromades Lago de Chapala,Chapala,Mexico,Latin America,public,Yes,2018-01-01 - 2018-12-31,"Other, please specify: Asociación intermunicipal (16 municipios)",Same – covers entire city and nothing else,2006 IPCC Guidelines for National Greenhouse Gas Inventories,,,"CH4, CO2, N20",,,,,,,,,,,,,,5521,601263,2015,POINT (-103.191 20.2962),2021-07-16T02:03:37.903
2020,35863,eThekwini Municipality,Durban,South Africa,Africa,public,Yes,2018-01-01 - 2018-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",,,,,,,,,,,,Increased,Improved data accuracy,2556,3918863,2018,POINT (31.0218 -29.8587),2021-07-16T02:03:37.903
2020,73725,Guaminí,,Argentina,Latin America,public,Yes,2014-01-01 - 2014-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",0,447250.27,0,6185.81,0,1119.29,,,,,,Decreased,"Other, please specify: Se registran menores hectáreas sembradas en el municipio.",4826.84,11826,2010,,2021-07-16T02:03:37.903
2020,60385,Alcaldía de Villavicencio,,Colombia,Latin America,public,Not intending to undertake,,"Other, please specify: Municipio",,,,,,,,,,,,,,,,,,,1311.27,545302,2020,,2021-07-16T02:03:37.903
2020,831431,Cornwall Council,,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2017-04-01 - 2018-03-31,Province / County,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, HFCs, N20, PFCs, SF6",,3223629,,675465,,121234,,,,,,Decreased,"Other, please specify:  A decrease in the national grid electricity emission factor is significant in this reduction.",3563,569578,2019,,2021-07-16T02:03:37.903
2020,60125,Klaipeda City Municipality,Klaipeda,Lithuania,Europe,public,Yes,2018-01-01 - 2019-01-01,City / Municipality,Smaller – covers only part of the city,Regional or country specific methodology,"Environmental Monitoring Information System.  Systematic monitoring of the environment in territory of the municipality in Klaipėda City  is carried out since 2005 years. It's systematically observe the state of natural environment components within the territory of Klaipėda City; analising, evaluating and forecasting of the natural environment, the spontaneous and anthropogenic changes and possible trends of the natural environment; collect and provide information on the state and trends of the environment for institutions and public.  Environmental meteorological parameters are measured during the determination of air pollutants. During the first two years of the implementation of Monitoring program, to assess the influence of seasonality, measurements of SO2, NO2, VOC, PM10 and CO pollutants are carried outfour times a year. In the absence of exceedance of airstandards, air quality is assessed by the approved program for simulation.",,"CO2, N20",,,,,,,,,,,,Stayed the same,Emissions have not changed,9835,147892,2019,,2021-07-16T02:03:37.903
2020,43934,City of Perth,Perth,Australia,Southeast Asia and Oceania,public,Yes,2014-07-01 - 2015-06-30,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,123613,1028194,209463,653337,,This is our first year of calculation,,20.01,32233,2020,POINT (115.861 -31.9526),2021-07-16T02:03:37.903
2020,847236,Ramona,,Argentina,Latin America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"Excel. Se utilizó la herramienta de cálculo desarrollada por la Red Argentina de Municipios frente al Cambio Climática, que fue diseñada en base al protocolo GPC para inventarios de emisiones de GEI para ciudades argentinas.",Yes,"CH4, CO2, N20",,30533.28,,1676.94,,273.34,,,,,,This is our first year of calculation,"Other, please specify",101,2118,2016,,2021-07-16T02:03:37.903
2020,60105,Kirklees Council,Huddersfield,United Kingdom of Great Britain and Northern Ireland,Europe,public,Yes,2017-01-01 - 2017-12-31,Metropolitan area,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,Yes,"CH4, CO2, N20",36564.91,1540730.01,0,520477.88,5529.49,654165.63,,,,,,,,408.6,437400,2017,,2021-07-16T02:03:37.903
2020,69995,Kemi,Kemi,Finland,Europe,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Smaller – covers only part of the city,"Other, please specify: European Union, Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan – Guidebook. Part II, Baseline Emission Inventory",,,"CH4, CO2, N20",,,,,,,,,,,,Stayed the same,Emissions have not changed,95,20742,2020,POINT (24.5637 65.7364),2021-07-16T02:03:37.903
2020,35907,Bangalore,Bangalore,India,South and West Asia,public,Intending to undertake in the next 2 years,,City / Municipality,,,,,,,,,,,,,,,,,,,,13000000,2019,POINT (77.5946 12.9716),2021-07-16T02:03:37.903
2020,54478,Gemeente Nijmegen,Nijmegen,Netherlands,Europe,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,,Regional or country specific methodology,1 m3 natrural gas = 1.8 kg CO21 kwh electricity = 0.9 kg CO2,,CO2,,,,,,,,,,,,Decreased,Financial conditions,57.6,179000,2019,POINT (5.84282 51.8449),2021-07-16T02:03:37.903
2020,35872,Municipality of Recife,Recife,Brazil,Latin America,public,Yes,2017-01-01 - 2017-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Finalizamos recentemente a atualização dos inventários dos anos de 2016 e 2017 utilizando a plataforma CLIMAS.,Yes,"CH4, CO2, N20",,1653967.62,,310114.03,,1079526.83,,,,,,Increased,Population increase,218.843,1645727,2019,POINT (-34.8829 -8.05783),2021-07-16T02:03:37.903
2020,73413,Commune de Cocody,Cocody,Côte d'Ivoire,Africa,public,Yes,2018-01-01 - 2018-12-31,City / Municipality,Larger – covers the whole city and adjoining areas,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Le diagnostic énergie réalisé par COPADEN s’est basé sur un inventaire territorial, celui de la commune de Cocody et des villes environnantes du District d’ABIDJAN ; consistant à calculer toutes les émissions de GES directement émises sur le territoire de la commune de Cocody et des activités intercommunales par l’ensemble des acteurs en 2017 et 2018, réparties par secteurs d’activités. L’étude porte sur le territoire de la Commune de Cocody voir  CARTE. Toutefois, du fait de l’interaction de ce territoire avec les autres communes du District d’Abidjan ainsi qu’avec le reste de la Côte d’Ivoire (flux vers Yamoussoukro, Bouaké et vers Korhogo…), l’étude devra porter, quand de nécessaire, sur l’ensemble de la Côte d’Ivoire.Avec  l’approche  inventaire  territorial  retenue,  les  émissions  prises  en  compte  sont  les émissions directes (Scope 1) et les émissions indirectes associées à l’énergie (Scope2) pour tous les secteurs étudiés.Dans le diagnostic, six secteurs ont été définis et analysés : (i) le secteur résidentiel ; (ii) le secteur industriel (usines et unités de transformation) ; (iii) le secteur tertiaire ; (iv) le secteur transport ; (v) le secteur déchets ; et (vi) le secteur agriculture et forêt.Les différents postes d’émissions de gaz à effet de serre ont pu être identifiés et classés en fonction de leur importance. Les activités liées à la production et à la consommation d’énergie constituent de loin les principaux postes d’émissions de gaz à effet de serre de la commune.",,"CH4, CO2, HFCs, N20, NF3, PFCs, SF6",,,,,,,,,,,,Decreased,Emissions reduction actions not implemented,132,800000,2018,POINT (-3.9674 5.3602),2021-07-16T02:03:37.903
2020,50377,Municipio de Querétaro,,Mexico,Latin America,public,Yes,2014-04-30 - 2015-04-30,City / Municipality,Partial – covers part of the city and adjoining ar,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Para las 4 categorías consideradas del IPCC (energía, procesos industriales y usos de agricultura, silvicultura y otros usos de la tierra y desecho), los gases de efecto invernadero que se estimaron son los siguientes:Bióxido de carbono, metano, óxido nitroso, óxido de nitrógeno, compuestos orgánicos volátiles diferentes al metano, halocarbonos y hexacloruro de azufre, así como dióxido de carbono equivalente.",,"CH4, CO2, HFCs, N20",,,,,,,,,,,,Increased,Population increase,69002,878931,2015,,2021-07-16T02:03:37.903
2020,50543,Halifax Regional Municipality,Halifax,Canada,North America,public,Yes,2016-01-01 - 2016-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),"HRM's emissions calculation methodology is entirely based on the GPC Protocol. The 2016 emissions inventory provided here was developed as the baseline inventory for HRM's HalifACT 2050 Climate Action Plan, which represents the municipality's long-term mitigation and adaptation strategy. HRM has retained the technical expertise of a skilled team of external consultants (Sustainability Solutions Group) to develop this inventory using a sophisticated energy & emissions modelling tool called CityInSight. This tool builds a long-term energy & emissions profile for the municipality using population and employment data and projections, detailed energy consumption information based on building archetypes and zoning, induced traffic demand projections and detailed information on energy use/production, waste and wastewater production based on all building stock in the municipality.",No,"CH4, CO2, N20",,,,,,,2357934,3120820,305742,5351364,5648315,Decreased,Improved data accuracy,5600,421939,2017,POINT (-63.5714 44.6478),2021-07-16T02:03:37.903
2020,60279,Prefeitura de Campos de Goytacazes,Campos de Goytacazes,Brazil,Latin America,public,,,City / Municipality,,,,,,,,,,,,,,,,,,,4302,483970,2015,POINT (-41.2683 -21.8323),2021-07-16T02:03:37.903
2020,43914,City of Charlotte,Charlotte,United States of America,North America,public,Yes,2019-01-01 - 2019-12-31,City / Municipality,Same – covers entire city and nothing else,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),,No,"CH4, CO2, N20",,,,,,,156782859,266326034,176188,10437984,266482217,Increased,Change in data collection methods,771,885708,2019,POINT (-80.8431 35.2271),2021-07-16T02:03:37.903
