Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Total Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,New Georeferenced Column
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2018,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,119949,0,11207,1,108741,0,0,0,0,,3,"(46.165957, -119.017218)",POINT (-119.017218 46.165957000000006)
Seaport Sound Terminal LLC,2015,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Targa Resources,NA,NA,NA,14436,8114,6322,0,0,0,0,0,0,,,,
Sierra Pacific Industries - Burlington - Mount Vernon,2016,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Mount Vernon,Skagit,Northwest Clean Air Agency,307452,301493,1930,580,3449,0,0,0,0,,3,"(48.448553, -122.434613)",POINT (-122.43461299999998 48.448553)
Washington State University - Pullman,2014,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Pullman,Whitman,Ecology: Eastern Regional Office,59384,0,59321,28,35,0,0,0,0,,2,"(46.728702, -117.151481)",POINT (-117.15148099999999 46.728702)
U.S. Oil & Refining Co.,2016,Transportation Fuel Supplier,Transportation Fuel Supplier,32411,Petroleum Refineries,Trailstone L.P.,NA,NA,NA,1288944,0,1288944,0,0,0,0,0,0,,,,
Ardagh Glass Inc. - Seattle,2020,Minerals,Glass Production,327213,Glass Container Manufacturing,Saint-Gobain Corporation,Seattle,King,Puget Sound Clean Air Agency,58653,0,58607,21,25,0,0,0,0,,2,"(47.55242, -122.33739)",POINT (-122.33739000000001 47.552420000000005)
Puget Sound Energy - Frederickson Generating Station - Tacoma,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Tacoma,Pierce,Puget Sound Clean Air Agency,17052,0,17034,8,10,0,0,0,0,,1,"(47.079716, -122.364711)",POINT (-122.364711 47.079716)
Spectrum Glass Company - Woodinville,2013,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,12088,0,12077,5,6,0,0,0,0,,1,"(47.777004, -122.148978)",POINT (-122.14897799999999 47.777004)
Tree Top - Selah Campus,2018,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Selah,Yakima,Yakima Regional Clean Air Agency,19785,0,19764,9,11,0,0,0,0,,1,"(46.64992, -120.52755)",POINT (-120.52755000000002 46.64992)
"SGL Carbon, LLC - Moses Lake",2020,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,11827,0,11815,6,7,0,0,0,0,,1,"(47.208993, -119.285437)",POINT (-119.285437 47.208993)
"Nucor Steel Seattle, Inc, - Seattle",2019,Metals,Iron and Steel Production,331111,Iron and Steel Mills,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,179009,0,178966,20,24,0,0,0,0,,3,"(47.569331, -122.367332)",POINT (-122.367332 47.569331)
CityServiceValcon LLC,2014,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"CityServiceValcon, LLC",NA,NA,NA,358213,17373,340840,0,0,0,0,0,0,,,,
Lamb Weston - Connell,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Connell,Franklin,Ecology: Eastern Regional Office,39841,0,39800,19,22,0,0,0,0,,2,"(46.651389, -118.871944)",POINT (-118.87194400000001 46.651389)
LRI Landfill - Graham,2018,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,181556,0,0,181556,0,0,0,0,0,,3,"(46.972405, -122.292799)",POINT (-122.292799 46.972405)
Gas Transmission Northwest Compressor Station 8 - Wallula,2012,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Wallula,Walla Walla,Ecology: Eastern Regional Office,88029,0,86238,1742,48,0,0,0,0,,2,"(46.053153, -118.843934)",POINT (-118.84393399999999 46.053153)
Puget Sound Energy - Whitehorn Generating Station - Blaine,2015,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Puget Holdings LLC,Blaine,Whatcom,Northwest Clean Air Agency,37884,0,37844,18,22,0,0,0,0,,2,"(48.885475, -122.724299)",POINT (-122.724299 48.885475)
Starbucks Kent Flexible Plant - Kent,2018,Food Production,Other Food Products,311920,Coffee and Tea Manufacturing,Starbucks Corp.,Kent,King,Puget Sound Clean Air Agency,12709,0,12696,6,7,0,0,0,0,,1,"(47.436276, -122.237648)",POINT (-122.237648 47.436276)
Grays Harbor Energy Center - Elma,2017,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Stark Power Generation I Holdings LLC,Elma,Grays Harbor,EFSEC,1107991,0,1106866,513,612,0,0,0,0,,4,"(46.9688, -123.48)",POINT (-123.48 46.9688)
"IPC (USA), Inc.",2016,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),ITOCHU Corporation,NA,NA,NA,14772,14,14758,0,0,0,0,0,0,,,,
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2017,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,27951,0,0,27951,0,0,0,0,0,,2,"(47.405083, -120.167444)",POINT (-120.167444 47.405083)
Riverside Feeders SFL - Kennewick,2019,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Riverside Feeders,Kennewick,Benton,Benton Clean Air Agency,21162,0,2749,1428,16985,0,0,0,0,,1,"(45.991872, -119.136497)",POINT (-119.136497 45.991872)
"Interfor US, Inc. - Port Angeles",2016,Wood Products,Lumber Mills,321113,Sawmills,Interfor US Inc.,Port Angeles,Clallam,Olympic Region Clean Air Agency,43768,43191,0,83,494,0,0,0,0,,2,"(48.103425, -123.518642)",POINT (-123.518642 48.103425)
Naval Air Station Whidbey Island - Oak Harbor,2012,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,17880,0,17861,9,10,0,0,0,0,,1,"(48.345281, -122.669741)",POINT (-122.669741 48.345281)
Guy Bennett Lumber Company - Clarkston,2019,Wood Products,Lumber Mills,321113,Sawmills,Bennett Lumber Products Inc.,Clarkston,Whitman,Ecology: Eastern Regional Office,15233,15032,0,29,172,0,0,0,0,,1,"(46.423108, -117.086487)",POINT (-117.08648699999999 46.423108)
The Boeing Company - Auburn Site - Auburn,2017,Manufacturing,Transportation Industry,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,The Boeing Company,Auburn,King,Puget Sound Clean Air Agency,38096,0,38057,18,21,0,0,0,0,,2,"(47.285551, -122.242298)",POINT (-122.242298 47.285551)
Sinclair Oil Corporation,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,NA,NA,NA,172527,0,172527,0,0,0,0,0,0,,,,
SDS Lumber Company - Bingen,2014,Wood Products,Lumber Mills,321113,Sawmills,SDS Lumber Company,Bingen,Klickitat,Ecology: Central Regional Office,110009,108451,110,208,1240,0,0,0,0,,3,"(45.713913, -121.468688)",POINT (-121.468688 45.713913000000005)
Northwest Pipeline Roosevelt C/S - Bickleton,2015,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Bickleton,Klickitat,Ecology: Central Regional Office,13756,0,9418,4333,5,0,0,0,0,,1,"(45.849504, -120.08083)",POINT (-120.08083 45.849504)
Packaging Corporation of America - Wallula,2013,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,828251,727045,89680,8836,2690,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
Ascent Aviation Group Inc,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),"World Fuel Services, Corp",NA,NA,NA,45678,0,45678,0,0,0,0,0,0,,,,
Equilon Enterprises LLC dba Shell Oil Products US,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Shell Petroleum Inc.,NA,NA,NA,5985748,0,5985748,0,0,0,0,0,0,,,,
"Bio Energy Washington, LLC - Maple Valley",2020,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Bio Energy Washington,Maple Valley,King,Puget Sound Clean Air Agency,23405,22271,1017,35,83,0,0,0,0,,1,"(47.455871, -122.041817)",POINT (-122.041817 47.455871)
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2013,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,154497,0,7671,1,146825,0,0,0,0,,3,"(46.165957, -119.017218)",POINT (-119.017218 46.165957000000006)
Equilon Enterprises LLC dba Shell Oil Products US,2019,Transportation Fuel Supplier,Transportation Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Shell Petroleum Inc.,NA,NA,NA,4282904,0,4282904,0,0,0,0,0,0,,,,
"UPS Fuel Services, Inc.",2014,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",NA,NA,NA,32640,0,32640,0,0,0,0,0,0,,,,
Naval Air Station Whidbey Island - Oak Harbor,2018,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,14566,0,14550,7,9,0,0,0,0,,1,"(48.345281, -122.669741)",POINT (-122.669741 48.345281)
Michelsen Packaging - Yakima,2018,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,10989,0,10978,5,6,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
Imerys Minerals Quincy Plant - Quincy,2020,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,19010,0,18990,9,11,0,0,0,0,,1,"(47.239948, -119.838831)",POINT (-119.83883100000001 47.239948)
Connell Oil Inc,2012,Transportation Fuel Supplier,Transportation Fuel Supplier,,NA,NA,NA,NA,NA,202238,3850,198388,0,0,0,0,0,0,Incomplete report.  No other submissions.,,,
J.R. Simplot Company - Moses Lake,2013,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",J.R. Simplot Company,Moses Lake,Grant,Ecology: Eastern Regional Office,36308,2684,27992,5607,25,0,0,0,0,,2,"(47.131732, -119.18926)",POINT (-119.18926000000002 47.131732)
Northwest Hardwoods Inc. - Longview,2012,Wood Products,Lumber Mills,321113,Sawmills,American Industrial Partners (AIP),Longview,Cowlitz,Southwest Clean Air Agency,13571,7926,5467,70,109,0,0,0,0,,1,"(46.114537, -122.916806)",POINT (-122.91680600000001 46.114537)
LRI Landfill - Graham,2017,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,132924,0,0,132924,0,0,0,0,0,,3,"(46.972405, -122.292799)",POINT (-122.292799 46.972405)
Northwest Pipeline C/S - Snohomish,2017,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Snohomish,Snohomish,Puget Sound Clean Air Agency,51798,0,51068,701,29,0,0,0,0,,2,"(47.78825, -122.05859)",POINT (-122.05858999999998 47.78825)
U.S. Department of Energy Hanford Site - Richland,2020,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,15639,0,6657,8970,12,0,0,0,0,,1,"(46.55069, -119.489007)",POINT (-119.48900700000002 46.55069)
Fairchild AFB - Spokane Co.,2017,Government,National Security,928110,National Security,US Government,Fairchild AFB,Spokane,Spokane Regional Clean Air Agency,12821,0,12808,6,7,0,0,0,0,,1,"(47.641332, -117.644832)",POINT (-117.64483200000001 47.641332)
Northwest Pipeline C/S - Sumas,2013,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumas,Whatcom,Northwest Clean Air Agency,76728,0,71662,5026,40,0,0,0,0,,2,"(49.001, -122.2214)",POINT (-122.22139999999999 49.001)
Cheyne Landfill - Zillah,2015,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services - Solid Waste Division,Zillah,Yakima,Yakima Regional Clean Air Agency,34450,0,0,34450,0,0,0,0,0,,2,"(46.4785, -120.2688)",POINT (-120.26880000000001 46.478500000000004)
Packaging Corporation of America - Wallula,2016,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,801789,645182,145490,8908,2209,0,0,0,0,,3,"(46.10396, -118.9184)",POINT (-118.91840000000002 46.10396000000001)
Grays Harbor Energy Center - Elma,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Stark Power Generation I Holdings LLC,Elma,Grays Harbor,EFSEC,60590,0,60528,28,33,0,0,0,0,,2,"(46.9688, -123.48)",POINT (-123.48 46.9688)
Avista Corporation - WA State DOE Reporting - statewide,2017,Natural Gas Systems,Natural Gas Local Distribution Companies,221121,Electric Bulk Power Transmission and Control,Avista Corp.,Spokane,Spokane,Spokane Regional Clean Air Agency,17779,0,19,15596,0,0,0,2164,0,,1,,
Alon Asphalt Company - Seattle,2012,Petroleum Systems,Other Petroleum Systems,324121,Asphalt Paving Mixture and Block Manufacturing,Delek US Holdings Inc.,Seattle,King,Puget Sound Clean Air Agency,15138,0,15111,18,9,0,0,0,0,,1,"(47.781642, -122.395299)",POINT (-122.39529900000001 47.781642)
Georgia-Pacific Consumer Products LLC - Camas,2015,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Koch Industries Inc.,Camas,Clark,Ecology: Industrial Section,643155,502054,129329,10314,1458,0,0,0,0,,3,"(45.584271, -122.40843)",POINT (-122.40843 45.584271)
Ponderay Newsprint Company - Usk,2012,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Ponderay Newsprint Company,Usk,Pend Oreille,Ecology: Eastern Regional Office,51816,49551,1176,424,665,0,0,0,0,,2,"(48.289771, -117.271359)",POINT (-117.27135900000002 48.289771)
Darigold - Lynden,2012,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,17342,0,17324,8,10,0,0,0,0,,1,"(48.947567, -122.451915)",POINT (-122.451915 48.947567)
"North Pacific Paper Company, LLC - Longview",2016,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,NP Paper Investor Holdings LLC,Longview,Cowlitz,Southwest Clean Air Agency,37298,0,37260,18,21,0,0,0,0,First year reporting.  Formerly part of Nippon Dynawave before 2016.,2,"(46.125662, -122.976788)",POINT (-122.976788 46.125662)
Riverside Feeders SFL - Kennewick,2012,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Riverside Feeders,Kennewick,Benton,Benton Clean Air Agency,19977,0,1164,1437,17376,0,0,0,0,,1,"(45.991872, -119.136497)",POINT (-119.136497 45.991872)
Spectrum Glass Company - Woodinville,2016,Minerals,Glass Production,327211,Flat Glass Manufacturing,Vanguard Properties Co.,Woodinville,King,Puget Sound Clean Air Agency,9327,0,9319,4,4,0,0,0,0,,1,"(47.777004, -122.148978)",POINT (-122.14897799999999 47.777004)
"Tyson Fresh Meats, Inc. - Wallula",2015,Food Production,Meat Products,311611,Animal (except Poultry) Slaughtering,"Tyson Foods, Inc",Wallula,Walla Walla,Ecology: Eastern Regional Office,74580,0,20808,53760,12,0,0,0,0,,2,"(46.137521, -118.913051)",POINT (-118.91305099999998 46.137521)
"UPS Fuel Services, Inc.",2013,Transportation Fuel Supplier,Transportation Fuel Supplier,492110,Couriers and Express Delivery Services,"UPS, Inc.",NA,NA,NA,31599,0,31599,0,0,0,0,0,0,,,,
Cathcart Landfill - Snohomish,2014,Waste,Landfills,562111,Solid Waste Collection,Snohomish County,Snohomish,Snohomish,Puget Sound Clean Air Agency,22454,0,247,22207,0,0,0,0,0,,1,"(47.870014, -122.118284)",POINT (-122.11828399999999 47.870014)
Tree Top - Prosser,2014,Food Production,Fruit Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",Tree Top Inc.,Prosser,Benton,Benton Clean Air Agency,19366,0,19346,9,11,0,0,0,0,,1,"(46.21842, -119.73397)",POINT (-119.73397 46.21842)
Darling Ingredients Inc - Tacoma,2018,Food Production,Meat Products,311613,Rendering and Meat Byproduct Processing,Darling Ingredients Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,9515,0,9505,5,5,0,0,0,0,,1,"(47.250503, -122.406461)",POINT (-122.406461 47.250503)
Michelsen Packaging - Yakima,2017,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,9847,0,9836,5,6,0,0,0,0,,1,"(46.604058, -120.513015)",POINT (-120.513015 46.604058)
"Solvay Chemicals, Inc. - Longview",2012,Chemicals,Other Chemicals,325188,All Other Basic Inorganic Chemical Manufacturing,Solvay Chemicals Inc.,Longview,Cowlitz,Southwest Clean Air Agency,47983,0,47983,0,0,0,0,0,0,,2,"(46.137218, -122.982847)",POINT (-122.98284700000002 46.137218)
Agrium Kennewick Fertilizer Operations (KFO) - Kennewick,2019,Chemicals,Fertilizer Production,325311,Nitrogenous Fertilizer Manufacturing,Agrium US Inc.,Kennewick,Benton,Benton Clean Air Agency,145449,0,11198,1,134250,0,0,0,0,,3,"(46.165957, -119.017218)",POINT (-119.017218 46.165957000000006)
Sinclair Oil Corporation,2017,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Sinclair Oil Corporation,NA,NA,NA,163446,0,163446,0,0,0,0,0,0,,,,
"Vaagen Bros. Lumber, Inc. - Colville",2013,Wood Products,Lumber Mills,321113,Sawmills,Vaagen Bros. Lumber Inc.,Colville,Stevens,Ecology: Eastern Regional Office,47081,46460,0,89,531,0,0,0,0,,2,"(48.548525, -117.915469)",POINT (-117.91546900000002 48.548525)
"Analog Devices, Inc. - Camas",2014,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,Linear Technology Corporation,Camas,Clark,Southwest Clean Air Agency,14576,0,1662,1,1113,1082,2633,7957,129,,1,"(45.598844, -122.45232)",POINT (-122.45232 45.59884400000001)
Elbow River Marketing Canada Ltd.,2018,Transportation Fuel Supplier,Transportation Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),Parkland Fuel Corporation,NA,NA,NA,2975,0,2975,0,0,0,0,0,0,,,,
Hampton Lumber Mills Washington Inc. - Darrington,2016,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,94826,93577,0,180,1070,0,0,0,0,,2,"(48.262797, -121.597608)",POINT (-121.597608 48.262797)
Inland Empire Paper Company - Spokane,2015,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Cowles Publishing Co.,Spokane,Spokane,Spokane Regional Clean Air Agency,29097,17730,11119,39,209,0,0,0,0,,2,"(47.688295, -117.279323)",POINT (-117.279323 47.688295)
CenTrio Energy Seattle LLC - Seattle,2019,Power Plants,"Other Power, Heating, or Cooling Plants",221330,Steam and Air-Conditioning Supply,"BIF II District Energy Holdings III, Delaware",Seattle,King,Puget Sound Clean Air Agency,69254,0,69181,33,40,0,0,0,0,,2,"(47.6068, -122.340179)",POINT (-122.34017900000002 47.6068)
